ms_played,master_metadata_album_artist_name
179413,eMMANUEL
328418,Musketeers
404502,Romeo Makota
19260,Lady Amar
140734,Ethnix Namibia
185093,Ayra Starr
134483,Asake
219500,Victony
184633,Libianca
166559,Ayra Starr
223073,Tayc
114143,Bad Bunny
194563,Grupo Frontera
131013,PinkPantheress
19460,Santana
411000,Hillsong UNITED
22170,Bad Bunny
535962,Hillsong UNITED
275187,Hillsong UNITED
411000,Hillsong UNITED
262120,Hillsong UNITED
19360,Hillsong UNITED
200790,Hillsong UNITED
172698,Manxebe
1670,Sunny Boy
1640,DJ Vuyo
350,Sunny Boy
1490,Sally Boss Madam
2270,DJ Desertstorm
1050,EES
1050,Miss Rose
850,Dingala ft. Tate Buti
1030,Ndilimani Cultural Troupe
1070,Burna Boy
210,Wande Coal
118450,Ethnix Namibia
166280,Burna Boy
23521,Pheelz
44130,Spyro
131010,Rema
350,Hillsong UNITED
517030,Hillsong UNITED
345910,Hillsong UNITED
6040,Doja Cat
1050,The Weeknd
890,Rema
510,Miley Cyrus
690,Metro Boomin
1730,Dua Lipa
700,SZA
60380,Bad Bunny
770,Harry Styles
8520,Taylor Swift
328417,Musketeers
63334,SAGABEATSS
10477,Hypemankellytv
251940,Mlindo The Vocalist
850,Mlindo The Vocalist
240000,Sunny Boy
185730,Ethnix Namibia
143069,Soweto's Finest
258298,Bad Bunny
125917,Bad Bunny
204750,Rema
73491,Libianca
1877,Omah Lay
147580,Oxlade
156083,Wande Coal
176134,Kizz Daniel
87809,CKay
197375,eMMANUEL
146518,eMMANUEL
12891,Lana Lubany
130210,Pop Smoke
2050,Xanemusic
65080,ViralityX
144289,Xanemusic
174253,FIFTY FIFTY
131013,PinkPantheress
107394,Libianca
255653,Mlindo The Vocalist
584951,2Point1
3108,Zonke
1370,Shekhinah
133110,Mlindo The Vocalist
16399,Lloyiso
189367,Samy Lrzo
21362,7th Sound
169530,Bad Bunny
2260,Jah Prayzah & The 3rd Generation Band
94866,DJ Vetkuk
5090,Metro Boomin
60910,Bad Bunny
4930,LU KALA
23420,Pson
122610,Diesel Gucci
7270,Gaz Mawete
115190,Ntaba 2 London
1750,Serge Ibaka
2550,Afara Tsena
11490,Ya Levis
36180,Suspect95
1870,DOUPI PAPILLON
86900,Serge Beynaud
182160,Lewis Capaldi
4079,Lauren Daigle
285240,Adele
5740,SLANDER
2080,One Direction
212606,Ali Gatie
205123,Maroon 5
160740,John Legend
11840,Lady Gaga
117260,Marshmello
245425,Billie Eilish
13154,Benson Boone
290300,Lukas Graham
117170,Maroon 5
1740,Calum Scott
1240,Andra Day
156520,Sam Smith
2370,Dua Lipa
1050,Lady Gaga
126630,Dua Lipa
980,Lady Gaga
1010,James Bay
237300,Lukas Graham
18190,Powfu
182130,Maroon 5
1430,James Arthur
99860,Kina
1360,Dean Lewis
212866,Justin Bieber
252733,Passenger
201660,Halsey
215106,Lewis Capaldi
1832,Ruth B.
980,XXXTENTACION
0,Noah Cyrus
960,Kina
12440,Tate McRae
267660,Musketeers
218093,Shakira
198773,Don Omar
229360,Luis Fonsi
216408,Jason Derulo
105744,Drake
203064,Dua Lipa
6805,Beyoncé
192600,Daddy Yankee
28150,Shakira
83250,Bizarrap
14310,Bruno Mars
15600,Bruno Mars
106580,Bruno Mars
222091,Bruno Mars
84558,Bruno Mars
1300,Bruno Mars
1470,Bruno Mars
188960,Bruno Mars
7700,Bruno Mars
84650,Mark Ronson
22710,Bruno Mars
102020,Jhené Aiko
229133,Dave
97392,Central Cee
990,Central Cee
55993,Central Cee
229133,Dave
97392,Central Cee
6873,Central Cee
198026,Dave
23493,Dave
150663,Central Cee
11186,Central Cee
150663,Central Cee
21846,Central Cee
3970,Central Cee
36280,Central Cee
87200,Xanemusic
204750,Rema
22860,Omah Lay
10070,Libianca
146318,eMMANUEL
207170,Bad Bunny
196794,Giveon
184791,Libianca
62933,Tems
145800,CKay
23290,Ric Hassani
1720,Brent Faiyaz
209831,Daniel Caesar
201800,SZA
160191,Kali Uchis
7717,Glass Animals
1410,One Direction
1250,SLANDER
1680,Brandz
680,SZA
760,Justin Bieber
190,Olivia Rodrigo
198081,Justin Bieber
12448,Olivia Rodrigo
1220,Benson Boone
0,SZA
1200,Lewis Capaldi
0,Summer Walker
15810,Benson Boone
0,Summer Walker
215106,Lewis Capaldi
215000,Cat Burns
58760,Kina
0,Olivia Rodrigo
0,Vedo
0,Larissa Lambert
20,Yung Bleu
196794,Giveon
184791,Libianca
45773,Tems
14080,CKay
1660,Ric Hassani
820,Brent Faiyaz
171340,Daniel Caesar
174253,FIFTY FIFTY
11401,Lauren Spencer Smith
158133,Iniko
15284,Jeremy Zucker
2229,Latto
175836,SZA
5127,Lewis Capaldi
928,Toosii
1532,Bree Runway
208,Ed Sheeran
116,Zara Larsson
0,Benson Boone
0,Halsey
0,BUNT.
0,Jonas Brothers
0,Brenn!
0,Miley Cyrus
0,The Kid LAROI
0,Mae Stephens
6965,Mimi Webb
0,DYSTINCT
2925,Fireboy DML
204750,Rema
3149,Joé Dwèt Filé
812,Davido
1532,Vacra
0,Omah Lay
215295,Victony
229133,Dave
97392,Central Cee
4356,Central Cee
178491,Dave
2298,Dave
150663,Central Cee
108650,Central Cee
69316,Central Cee
242096,Bruno Mars
220734,Bruno Mars
178560,Bruno Mars
307014,Bruno Mars
197442,Bruno Mars
284870,Bruno Mars
203122,Bruno Mars
257720,Bruno Mars
217866,Bruno Mars
222091,Bruno Mars
172676,Bruno Mars
173545,Bruno Mars
1137,Bruno Mars
1068,Bruno Mars
1091,Bruno Mars
269666,Mark Ronson
33805,Bruno Mars
1393,Bruno Mars
1114,Bruno Mars
928,Bruno Mars
2020,Bruno Mars
7360,Bruno Mars
213902,Dave
72260,Shakira
136115,Shakira
4230,Cat Burns
117940,Cat Burns
1470,Cat Burns
158259,Cat Burns
63490,Cat Burns
4440,Cat Burns
85090,ArrDee
169592,Cat Burns
1200,Cat Burns
3460,Cat Burns
11210,Cat Burns
205090,Bad Bunny
258298,Bad Bunny
52421,Don Omar
3420,Jay Wheeler
1180,Kali Uchis
142660,J Balvin
1060,Alejo
139679,Bad Bunny
12270,Doja Cat
14760,Lil Durk
237540,Rema
1570,Young Thug
670,SZA
11240,Luke Combs
144289,Xanemusic
1100,FIFTY FIFTY
131013,PinkPantheress
0,Libianca
1130,sped up 8282
980,Doechii
620,cwrsed
1280,Dybbukk Covers
720,SZA
1310,TraadeMark
272373,RAYE
35636,DTF
1270,Losenn
165060,Trinidad Cardona
850,SZA
3360,Meghan Trainor
1100,The Weeknd
1070,Doja Cat
650,Katy Perry
380,Isabel LaRosa
530,Meghan Trainor
1550,Kaliii
920,Miguel
88490,Ice Spice
930,Justine Skye
1230,Mokkez
930,Roz Jakson
900,Hiko
490,S1mba
0,Coi Leray
85390,S1mba
127020,Coi Leray
1400,ROSYE
950,Rosa Linn
62222,mahalin
30377,Scootie Wop
3020,Chris Brown
52700,Ice Spice
328417,Musketeers
19992,TNolly
204750,Rema
15890,Omah Lay
147580,Oxlade
159425,Bayanni
152109,Kizz Daniel
1230,Wande Coal
4010,Fireboy DML
3200,Victony
750,Libianca
134240,Rema
1140,melvitto
550,Davido
90900,melvitto
690,Davido
710,Omah Lay
104250,Adekunle Gold
930,Victor Thompson
4430,Libianca
194450,Midas the Jagaban
70890,CKay
147580,Oxlade
159425,Bayanni
181343,Maleek Berry
223517,melvitto
47432,Rema
76010,Jon Bellion
6770,ILLENIUM
18000,Jonas Brothers
146770,benny blanco
197866,Ed Sheeran
2693,PNAU
75650,Khalid
212202,Khalid
321508,Khalid
205750,Khalid
170769,benny blanco
202546,Khalid
229320,Khalid
4943,Ed Sheeran
210420,Khalid
196794,Giveon
7945,Khalid
1650,Daniel Caesar
970,CKay
780,Tems
1360,Julia Michaels
167350,Fifth Harmony
195140,The Weeknd
147100,The Weeknd
260255,The Weeknd
5654,Daniel Caesar
1010,PinkPantheress
400,Kali Uchis
25310,The Weeknd
191600,Rihanna
3790,Daniel Caesar
153190,Justin Bieber
194959,Ariana Grande
5610,Khalid
1500,Burna Boy
170769,benny blanco
19900,Bazzi
212606,Ali Gatie
176320,Julia Michaels
3763,Khalid
124040,Justin Bieber
1530,Alina Baraz
227880,Drake
11660,Frank Ocean
227880,Drake
85120,Frank Ocean
125184,Victony
212975,Lojay
19782,Nkosazana Daughter
1855,Crayon
1365,PsychoYP
1023,Mr Drew
576,1da Banton
106,Busta 929
383,Ruger
216000,Ruger
33996,Busta 929
874,Joeboy
810,Ayra Starr
426,Pheelz
0,SPINALL
155293,Pheelz
194181,SPINALL
27700,Tyla
168857,Adekunle Gold
159175,Amaarae
159100,Rema
196800,Ruger
9691,Bnxn
149141,Omah Lay
2538,Tiwa Savage
211875,Spyro
183103,Kizz Daniel
71413,ChopLife SoundSystem
49090,Emily Watts
136360,Koffi Olomide
52550,Koffi Olomide
260380,Musketeers
189367,Samy Lrzo
147580,Oxlade
159425,Bayanni
185454,SPINALL
89021,Asake
105220,Cabo Snoop
50410,Awilo Longomba
120250,Burna Boy
2260,Cat Burns
121890,Cat Burns
1470,Cat Burns
2170,Cat Burns
215000,Cat Burns
30570,Cat Burns
158598,ArrDee
182958,Cat Burns
178253,Cat Burns
104430,Cat Burns
1180,Cat Burns
42090,Cat Burns
4224,Jon Bellion
14528,mansionz
